Nombre,Caso,Descripción,Organismo,Link
Superficie implantada con viñedos,3,"Superficie implantada de viñedos existentes en la República Argentina desde el año 2012 a la última actualización. La información se encuentra en hectáreas y desagregada por provincia, departamento y localidad.",INV,https://datos.gob.ar/dataset/agroindustria-inv---superficie-implantada-con-vinedos
"Maní - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de maní en la Argentina desde 1927.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-mani---siembra-cosecha-produccion-rendimiento
Producción de uvas,3,"Producción de uvas en la Republica Argentina. Datos disponibles desde 2012 de uvas para elaborar vinos, jugos, consumo fresco y pasas.",INV,https://datos.gob.ar/dataset/agroindustria-inv---produccion-uvas
Elaboración de mostos y vino,3,"Elaboración de mostos y vinos en la República Argentina. Datos del Instituto Nacional de Vitivinicultura (INV) que muestran los mismos por provincia, departamento y localidad.",INV,https://datos.gob.ar/dataset/agroindustria-inv---elaboracion-mostos-vino
"Girasol - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de girasol en la Argentina desde 1969.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-girasol---siembra-cosecha-produccion-rendimiento
"Mijo - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de mijo en la Argentina desde 1935.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-mijo---siembra-cosecha-produccion-rendimiento
"Avena - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de avena en la Argentina desde 1923.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-avena---siembra-cosecha-produccion-rendimiento
"Arroz - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de arroz en la Argentina desde 1924.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-arroz---siembra-cosecha-produccion-rendimiento
"Centeno - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de centeno en la Argentina desde 1923.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-centeno---siembra-cosecha-produccion-rendimiento
"Maíz - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de maíz en la Argentina desde 1923.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-maiz---siembra-cosecha-produccion-rendimiento
"Trigo - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de trigo en la Argentina desde 1923.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-trigo---siembra-cosecha-produccion-rendimiento
"Cebada - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de cebada en la Argentina desde 1938.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-cebada---siembra-cosecha-produccion-rendimiento
"Soja - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de maní en la Argentina desde 1941.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-soja---siembra-cosecha-produccion-rendimiento
Pesca - Desembarques de capturas marítimas,3,"Datos correspondientes al desembarque de capturas marítimas por flota, puerto, especie y mes, desde Enero 1989.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-pesca---desembarques-capturas-maritimas
Actividad vitivinícola,3,"Anuarios, informes y datos de la actividad vitivinícola a cargo del Instituto Nacional de Vitivinicultura (INV).",INV,https://datos.gob.ar/dataset/agroindustria-inv---actividad-vitivinicola
"Sorgo - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de maíz en la Argentina desde 1969.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-sorgo---siembra-cosecha-produccion-rendimiento
"Poroto - siembra, cosecha, producción, rendimiento",3,"Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de poroto en la Argentina desde 1969.","Secretaría de Agricultura, Ganadería y Pesca ",https://datos.gob.ar/dataset/agroindustria-poroto---siembra-cosecha-produccion-rendimiento
SUBE - Cantidad de transacciones (usos) por fecha,1,SUBE - Cantidad de transacciones (usos) por fecha en validadoras de la red SUBE.,Secretaría de Transporte,https://datos.transporte.gob.ar/dataset/sube-cantidad-de-transacciones-usos-por-fecha
LISTADO ESTABLECIMIENTOS DE SALUD ASENTADOS EN EL REGISTRO FEDERAL (REFES) - 2024,2,"Listado de los establecimientos de salud, con y sin internación, de todas las dependencias y cuyo financiamiento es de origen público o de origen financiamiento privado.",Ministerio de Salud. Secretaría de Gestión Sanitaria. Dirección Nacional de Calidad y Desarrollo del Talento en Salud,https://datos.salud.gob.ar/dataset/336cf4d9-447a-44c4-8e34-0ba1fc293d55/archivo/5d5710df-cf3f-4d91-b9c5-aecab1e06018
"Trayectorias de Pozo Vaca Muerta
",4,Trayectorias de pozo de objetivo a formación Vaca Muerta con niveles de navegación,Energía,https://datos.gob.ar/dataset/energia-trayectorias-pozo-vaca-muerta
"Producción de Petróleo y Gas (SESCO)
",4,"Producción de Petróleo y Gas (SESCO).
",Energía,https://datos.gob.ar/dataset/energia-produccion-petroleo-gas-sesco
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
